Dataset,Defended,Experiment,Attack,Deg,Adv Acc,Count
cifar10,False,worst_defended,DI-Admix (A),15.75,78.27,12
cifar10,False,worst_defended,DI-TI-LGV (A),7.56,86.46,12
cifar10,False,worst_defended,VNI-FGSM (A),16.22,77.80,12
cifar10,False,worst_defended,DI-LGV (A),40.29,53.73,12
cifar10,False,worst_defended,VNI-DI-FGSM (A),16.30,77.72,12
cifar10,False,worst_defended,VNI-DI-TI-FGSM (A),8.77,85.25,12
cifar10,False,worst_defended,BIA (A),1.74,92.29,12
cifar10,False,worst_defended,BIA+DA (A),1.84,92.18,12
cifar10,False,worst_defended,BIA+RN (A),1.89,92.13,12
cifar10,False,worst_defended,AutoAttack (T),10.24,83.78,12
imagenet,True,worst_defended,LGV (A),1.69,70.02,18
imagenet,True,worst_defended,SSAH (B),1.48,70.23,18
imagenet,True,worst_defended,Admix (A),5.49,66.22,18
imagenet,True,worst_defended,DI-TI-Admix (A),5.24,66.46,18
imagenet,True,worst_defended,DI-Admix (A),5.02,66.69,18
imagenet,True,worst_defended,VNI-FGSM (A),5.97,65.74,18
imagenet,True,worst_defended,DI-LGV (A),1.98,69.73,18
imagenet,True,worst_defended,DI-TI-LGV (A),2.18,69.53,18
imagenet,True,worst_defended,VNI-DI-FGSM (A),4.88,66.83,18
imagenet,True,worst_defended,VNI-DI-TI-FGSM (A),5.94,65.77,18
imagenet,True,worst_defended,BIA (A),0.75,70.96,18
imagenet,True,worst_defended,BIA+DA (A),0.65,71.06,18
imagenet,True,worst_defended,BIA+RN (A),0.55,71.16,18
imagenet,True,worst_defended,AutoAttack (T),2.10,69.61,18
imagenet,False,worst_defended,LGV (A),18.49,57.29,68
imagenet,False,worst_defended,SSAH (B),-0.00,75.78,68
imagenet,False,worst_defended,Admix (A),5.58,70.20,68
imagenet,False,worst_defended,DI-TI-Admix (A),4.69,71.09,68
imagenet,False,worst_defended,DI-Admix (A),4.76,71.02,68
imagenet,False,worst_defended,VNI-FGSM (A),6.19,69.59,68
imagenet,False,worst_defended,DI-LGV (A),22.16,53.62,68
imagenet,False,worst_defended,DI-TI-LGV (A),14.23,61.55,68
imagenet,False,worst_defended,VNI-DI-FGSM (A),4.85,70.93,68
imagenet,False,worst_defended,VNI-DI-TI-FGSM (A),5.67,70.11,68
imagenet,False,worst_defended,BIA (A),2.38,73.40,68
imagenet,False,worst_defended,BIA+DA (A),1.71,74.07,68
imagenet,False,worst_defended,BIA+RN (A),0.78,75.00,68
imagenet,False,worst_defended,AutoAttack (T),1.64,74.14,68
cifar10,True,best_defended,LGV (A),2.46,85.22,67
cifar10,True,best_defended,SSAH (B),0.59,87.10,67
cifar10,True,best_defended,Admix (A),15.42,72.27,67
cifar10,True,best_defended,DI-TI-Admix (A),13.45,74.24,67
cifar10,True,best_defended,DI-Admix (A),15.50,72.19,67
cifar10,True,best_defended,DI-TI-LGV (A),3.80,83.88,67
cifar10,True,best_defended,VNI-FGSM (A),15.48,72.21,67
cifar10,True,best_defended,DI-LGV (A),3.13,84.56,67
cifar10,True,best_defended,VNI-DI-FGSM (A),15.55,72.14,67
cifar10,True,best_defended,VNI-DI-TI-FGSM (A),13.85,73.84,67
cifar10,True,best_defended,BIA (A),1.12,86.57,67
cifar10,True,best_defended,BIA+DA (A),0.89,86.80,67
cifar10,True,best_defended,BIA+RN (A),0.79,86.90,67
cifar10,True,best_defended,AutoAttack (T),11.62,76.07,67
cifar10,False,best_defended,LGV (A),89.50,4.52,12
cifar10,False,best_defended,SSAH (B),5.08,88.94,12
cifar10,False,best_defended,Admix (A),25.94,68.08,12
cifar10,False,best_defended,DI-TI-Admix (A),11.43,82.59,12
cifar10,False,best_defended,DI-Admix (A),21.74,72.28,12
cifar10,False,best_defended,DI-TI-LGV (A),16.58,77.44,12
cifar10,False,best_defended,VNI-FGSM (A),26.80,67.22,12
cifar10,False,best_defended,DI-LGV (A),88.23,5.79,12
cifar10,False,best_defended,VNI-DI-FGSM (A),26.78,67.24,12
cifar10,False,best_defended,VNI-DI-TI-FGSM (A),13.26,80.76,12
cifar10,False,best_defended,BIA (A),1.02,93.00,12
cifar10,False,best_defended,BIA+DA (A),1.43,92.59,12
cifar10,False,best_defended,BIA+RN (A),1.20,92.82,12
cifar10,False,best_defended,AutoAttack (T),13.69,80.33,12
imagenet,True,best_defended,LGV (A),3.13,68.58,18
imagenet,True,best_defended,SSAH (B),-0.16,71.87,18
imagenet,True,best_defended,Admix (A),8.08,63.63,18
imagenet,True,best_defended,DI-TI-Admix (A),7.51,64.20,18
imagenet,True,best_defended,DI-Admix (A),8.20,63.51,18
imagenet,True,best_defended,VNI-FGSM (A),7.68,64.03,18
imagenet,True,best_defended,DI-LGV (A),4.13,67.57,18
imagenet,True,best_defended,DI-TI-LGV (A),4.03,67.68,18
imagenet,True,best_defended,VNI-DI-FGSM (A),7.78,63.93,18
imagenet,True,best_defended,VNI-DI-TI-FGSM (A),7.33,64.37,18
imagenet,True,best_defended,BIA (A),-0.11,71.82,18
imagenet,True,best_defended,BIA+DA (A),-0.03,71.74,18
imagenet,True,best_defended,BIA+RN (A),-0.11,71.81,18
imagenet,True,best_defended,AutoAttack (T),4.94,66.77,18
imagenet,False,best_defended,LGV (A),26.34,49.44,68
imagenet,False,best_defended,SSAH (B),-0.24,76.02,68
imagenet,False,best_defended,Admix (A),8.30,67.48,68
imagenet,False,best_defended,DI-TI-Admix (A),6.35,69.43,68
imagenet,False,best_defended,DI-Admix (A),8.13,67.65,68
imagenet,False,best_defended,VNI-FGSM (A),9.77,66.00,68
imagenet,False,best_defended,DI-LGV (A),31.93,43.85,68
imagenet,False,best_defended,DI-TI-LGV (A),18.71,57.07,68
imagenet,False,best_defended,VNI-DI-FGSM (A),9.63,66.15,68
imagenet,False,best_defended,VNI-DI-TI-FGSM (A),7.59,68.19,68
imagenet,False,best_defended,BIA (A),0.22,75.56,68
imagenet,False,best_defended,BIA+DA (A),0.14,75.64,68
imagenet,False,best_defended,BIA+RN (A),0.51,75.27,68
imagenet,False,best_defended,AutoAttack (T),3.87,71.91,68
